uid,trace
2022,-4.736341 34.69511 0.0;-4.73646 34.69524 0.0;-4.736473 34.69523 0.0;-4.736666 34.69543 0.0;-4.73672 34.69543 0.0;-4.736813 34.69548 0.0;-4.736928 34.69539 0.0;-4.73693 34.69538 0.0;-4.736933 34.69538 0.0;-4.736883 34.69529 0.0;-4.736847 34.69526 0.0;-4.736829 34.69525 0.0;-4.736826 34.69525 0.0;-4.73676 34.69519 0.0;-4.736557 34.69499 0.0;-4.736341 34.69511 0.0;
2023,-5.087525 34.65471 0.0;-5.087636 34.65505 0.0;-5.087825 34.65498 0.0;-5.087883 34.65477 0.0;-5.087766 34.65463 0.0;-5.087525 34.65471 0.0;-5.087525 34.65471 0.0;
2024,-5.069254 34.35017 0.0;-5.069513 34.35098 0.0;-5.0692 34.35109 0.0;-5.06888 34.35033 0.0;-5.069254 34.35017 0.0;
2025,-5.145741 34.51675 0.0;-5.146123 34.51591 0.0;-5.146074 34.51587 0.0;-5.14537 34.51618 0.0;-5.145435 34.51661 0.0;-5.145539 34.51713 0.0;-5.145741 34.51675 0.0;
2026,-5.184319 34.57384 0.0;-5.18428 34.57389 0.0;-5.184127 34.57367 0.0;-5.184201 34.57341 0.0;-5.184407 34.57322 0.0;-5.184459 34.57329 0.0;-5.18435 34.57342 0.0;-5.184453 34.57344 0.0;-5.184462 34.57369 0.0;-5.184319 34.57384 0.0;-5.184319 34.57384 0.0;
2027,-5.176462 34.4454 0.0;-5.176219 34.44603 0.0;-5.176283 34.44606 0.0;-5.176468 34.44633 0.0;-5.176807 34.44649 0.0;-5.176951 34.4462 0.0;-5.176609 34.44571 0.0;-5.176735 34.44542 0.0;-5.176878 34.4448 0.0;-5.176874 34.44478 0.0;-5.17687 34.44477 0.0;-5.176869 34.44477 0.0;-5.176439 34.4454 0.0;-5.176462 34.4454 0.0;
2028,-5.236408 34.41846 0.0;-5.236664 34.41764 0.0;-5.236696 34.41764 0.0;-5.23663 34.41835 0.0;-5.236408 34.41846 0.0;
2029,-5.050894 34.41371 0.0;-5.050883 34.4136 0.0;-5.051191 34.41358 0.0;-5.051209 34.41364 0.0;-5.050918 34.41371 0.0;-5.050899 34.41371 0.0;-5.050894 34.41371 0.0;
2030,-5.060189 34.40758 0.0;-5.059694 34.40738 0.0;-5.059568 34.40726 0.0;-5.059573 34.40725 0.0;-5.059658 34.40701 0.0;-5.059811 34.40696 0.0;-5.060349 34.40722 0.0;-5.060349 34.40758 0.0;-5.060266 34.40765 0.0;-5.060191 34.40758 0.0;-5.060189 34.40758 0.0;-5.060189 34.40758 0.0;
2031,-5.220321 34.49363 0.0;-5.220192 34.49357 0.0;-5.219774 34.49404 0.0;-5.220183 34.49398 0.0;-5.220307 34.4936 0.0;-5.220321 34.49363 0.0;
2032,-5.259777 34.34264 0.0;-5.259934 34.34252 0.0;-5.25997 34.34249 0.0;-5.260117 34.34241 0.0;-5.260303 34.34269 0.0;-5.260088 34.34279 0.0;-5.2599 34.34286 0.0;-5.259804 34.34263 0.0;-5.259777 34.34264 0.0;-5.259777 34.34264 0.0;
2033,-4.900115 34.2962 0.0;-4.900127 34.29619 0.0;-4.900128 34.29618 0.0;-4.900069 34.29623 0.0;-4.900029 34.29623 0.0;-4.900093 34.29615 0.0;-4.900075 34.29609 0.0;-4.900379 34.29597 0.0;-4.900416 34.29604 0.0;-4.900407 34.29607 0.0;-4.90041 34.29614 0.0;-4.900373 34.29619 0.0;-4.900278 34.29612 0.0;-4.900115 34.2962 0.0;-4.900115 34.2962 0.0;
2034,-4.967611 34.39556 0.0;-4.967399 34.39588 0.0;-4.966907 34.39555 0.0;-4.967027 34.39525 0.0;-4.967611 34.39556 0.0;
2035,-4.847822 34.29736 0.0;-4.847826 34.29739 0.0;-4.847805 34.29745 0.0;-4.847842 34.29752 0.0;-4.847837 34.29769 0.0;-4.848026 34.29786 0.0;-4.848059 34.29789 0.0;-4.848213 34.29792 0.0;-4.84882 34.29831 0.0;-4.848889 34.29815 0.0;-4.848825 34.29808 0.0;-4.847883 34.29757 0.0;-4.847886 34.29739 0.0;-4.847889 34.29739 0.0;-4.847882 34.29737 0.0;-4.847822 34.29736 0.0;
2036,-4.799222 34.3286 0.0;-4.799081 34.32854 0.0;-4.798956 34.32855 0.0;-4.798904 34.32849 0.0;-4.799322 34.328 0.0;-4.799352 34.32797 0.0;-4.799285 34.32812 0.0;-4.799245 34.32813 0.0;-4.799222 34.3286 0.0;-4.799222 34.3286 0.0;-4.799222 34.3286 0.0;
2037,-4.915801 34.36902 0.0;-4.915685 34.36914 0.0;-4.915557 34.36915 0.0;-4.915547 34.36912 0.0;-4.915287 34.36915 0.0;-4.915274 34.36914 0.0;-4.915188 34.36917 0.0;-4.915065 34.36912 0.0;-4.914879 34.36915 0.0;-4.914928 34.36923 0.0;-4.914839 34.36928 0.0;-4.914638 34.3692 0.0;-4.914561 34.36914 0.0;-4.914693 34.36911 0.0;-4.914715 34.3691 0.0;-4.914728 34.3691 0.0;-4.914739 34.36901 0.0;-4.915341 34.36893 0.0;-4.915807 34.369 0.0;-4.915817 34.369 0.0;-4.915801 34.36902 0.0;-4.915801 34.36902 0.0;
2038,-4.764333 34.34856 0.0;-4.764409 34.34896 0.0;-4.765055 34.34893 0.0;-4.765141 34.34888 0.0;-4.765103 34.34878 0.0;-4.764945 34.34875 0.0;-4.764644 34.34854 0.0;-4.764575 34.34857 0.0;-4.764447 34.34841 0.0;-4.764294 34.34852 0.0;-4.764333 34.34856 0.0;
2039,-4.85868 34.36035 0.0;-4.858519 34.36031 0.0;-4.858759 34.35996 0.0;-4.858822 34.35998 0.0;-4.859049 34.35988 0.0;-4.859062 34.35986 0.0;-4.85951 34.35963 0.0;-4.859824 34.35955 0.0;-4.859537 34.35976 0.0;-4.859484 34.35974 0.0;-4.859146 34.35994 0.0;-4.859093 34.35991 0.0;-4.858692 34.36036 0.0;-4.85868 34.36035 0.0;-4.85868 34.36035 0.0;
2040,-4.888314 34.35141 0.0;-4.88843 34.3514 0.0;-4.888457 34.35135 0.0;-4.88843 34.35132 0.0;-4.888377 34.3513 0.0;-4.888415 34.35127 0.0;-4.888383 34.35122 0.0;-4.888284 34.35128 0.0;-4.888314 34.35141 0.0;-4.888314 34.35141 0.0;
2041,-4.57287 34.37553 0.0;-4.573241 34.3758 0.0;-4.573071 34.37631 0.0;-4.572051 34.37602 0.0;-4.572103 34.37538 0.0;-4.572771 34.37562 0.0;-4.57287 34.37553 0.0;
2042,-4.542208 34.35358 0.0;-4.541876 34.35359 0.0;-4.541603 34.35427 0.0;-4.542207 34.35424 0.0;-4.542208 34.35358 0.0;-4.542208 34.35358 0.0;
2043,-4.601293 34.34851 0.0;-4.600904 34.34849 0.0;-4.6008 34.34842 0.0;-4.600832 34.34785 0.0;-4.601966 34.3481 0.0;-4.60205 34.34828 0.0;-4.602056 34.34843 0.0;-4.601672 34.34849 0.0;-4.601276 34.34854 0.0;-4.601293 34.34851 0.0;
2044,-4.623945 34.31863 0.0;-4.624048 34.3184 0.0;-4.624334 34.31846 0.0;-4.624265 34.3187 0.0;-4.623945 34.31863 0.0;-4.623945 34.31863 0.0;
2045,-4.699746 34.34583 0.0;-4.699705 34.34573 0.0;-4.698988 34.34478 0.0;-4.698774 34.34482 0.0;-4.69906 34.34579 0.0;-4.699168 34.34606 0.0;-4.699705 34.34589 0.0;-4.699785 34.34585 0.0;-4.699746 34.34583 0.0;-4.699746 34.34583 0.0;
2046,-4.646295 34.37886 0.0;-4.646299 34.37869 0.0;-4.645559 34.37839 0.0;-4.645381 34.37884 0.0;-4.646027 34.37906 0.0;-4.646116 34.37909 0.0;-4.646267 34.3788 0.0;-4.646295 34.37886 0.0;
2047,-4.656296 34.37007 0.0;-4.656241 34.37009 0.0;-4.656342 34.37027 0.0;-4.656415 34.37029 0.0;-4.656318 34.37012 0.0;-4.656296 34.37007 0.0;-4.656296 34.37007 0.0;
2048,-4.657647 34.27355 0.0;-4.658041 34.27438 0.0;-4.657563 34.27457 0.0;-4.657217 34.27374 0.0;-4.657647 34.27355 0.0;
2049,-4.693426 34.30593 0.0;-4.693273 34.30602 0.0;-4.693227 34.30599 0.0;-4.693153 34.30603 0.0;-4.693088 34.30595 0.0;-4.692955 34.30601 0.0;-4.692789 34.30573 0.0;-4.693141 34.30538 0.0;-4.693383 34.30552 0.0;-4.693511 34.30581 0.0;-4.693414 34.30586 0.0;-4.693405 34.30592 0.0;-4.693407 34.30593 0.0;-4.693426 34.30593 0.0;
